,name,min_value,restaurant,max_value,mean_value
0,Arby's Melt,330,arbys,330,330.0
1,Arby-Q Sandwich,400,arbys,400,400.0
2,Arbynator,560,arbys,810,685.0
3,Bacon 'n Brisket Beef 'n Cheddar,760,arbys,760,760.0
4,Bacon Beef 'n Cheddar,520,arbys,520,520.0
5,Beef 'n Cheddar Classic,450,arbys,450,450.0
6,Beef 'n Cheddar Mid,560,arbys,560,560.0
7,Beer Braised Beef Sandwich,590,arbys,590,590.0
8,Beer Cheese 'N Double Beef,770,arbys,770,770.0
9,Beer Cheese Triple Stack,710,arbys,710,710.0
10,Bourbon BBQ Barrel Stack,880,arbys,880,880.0
11,Bourbon BBQ Brisket Sandwich,650,arbys,650,650.0
12,Bourbon BBQ Turkey Sandwich,510,arbys,510,510.0
13,Brown Sugar Bacon BLT Sandwich,520,arbys,520,520.0
14,Brown Sugar Bacon Half Pound Club Sandwich,710,arbys,710,710.0
15,Brown Sugar Bacon Roast Beef Sandwich,580,arbys,580,580.0
16,Brown Sugar Bacon Turkey Sandwich,510,arbys,510,510.0
17,Buttermilk Buffalo Chicken Sandwich,500,arbys,500,500.0
18,Buttermilk Chicken Bacon & Swiss,610,arbys,610,610.0
19,Buttermilk Chicken Cordon Bleu Sandwich,660,arbys,660,660.0
20,Buttermilk Crispy Chicken Sandwich,510,arbys,510,510.0
21,Chicken Bacon & Swiss – Roast,480,arbys,480,480.0
22,Chicken Cordon Bleu – Roast,500,arbys,500,500.0
23,Classic French Dip & Swiss/Au Jus,540,arbys,540,540.0
24,Classic Roast Beef,360,arbys,360,360.0
25,Cravin' Chicken Sandwich,380,arbys,510,445.0
26,Crispy Fish Sandwich,570,arbys,570,570.0
27,Double Roast Beef,510,arbys,510,510.0
28,Fire-Roasted Philly Steak,630,arbys,630,630.0
29,Fish 'n Cheddar Sandwich,540,arbys,540,540.0
30,Garlic Butter Steak Sandwich,520,arbys,520,520.0
31,Grand Turkey Club,480,arbys,480,480.0
32,Greek Gyro,710,arbys,710,710.0
33,Half Pound Beef 'n Cheddar Sandwich,740,arbys,740,740.0
34,Half Pound French Dip & Swiss,740,arbys,740,740.0
35,Half Pound Roast Beef Sandwich,610,arbys,610,610.0
36,Ham & Swiss Melt,300,arbys,300,300.0
37,KING'S HAWAIIAN Fish Deluxe Sandwich,690,arbys,690,690.0
38,Loaded Italian Sandwich,680,arbys,680,680.0
39,Prime-Cut Chicken Tenders,240,arbys,600,420.0
40,Reuben Sandwich,680,arbys,680,680.0
41,Roast Beef Gyro,550,arbys,550,550.0
42,Roast Chicken Club,460,arbys,460,460.0
43,Roast Turkey & Swiss Sandwich,710,arbys,710,710.0
44,Roast Turkey & Swiss Wrap,520,arbys,520,520.0
45,"Roast Turkey, Ranch & Bacon Sandwich",800,arbys,800,800.0
46,"Roast Turkey, Ranch & Bacon Wrap",620,arbys,620,620.0
47,Smokehouse Brisket,600,arbys,600,600.0
48,Steak & Bacon Melt Sandwich,640,arbys,640,640.0
49,Super Roast Beef,440,arbys,440,440.0
50,Three Cheese Roast Beef Sandwich,710,arbys,710,710.0
51,Turkey Gyro,470,arbys,470,470.0
52,Buffalo Chicken Slider,290,arbys,290,290.0
53,Chicken Tender 'n Cheese Slider,290,arbys,290,290.0
